Text,Emotional,Framing,Decisive,Explanation,Rewrite,Emotional (R),Framing (R),Decisive (R),Article Link,Source,Source Reli,Source Bias
"Far from a sign of strength, such maneuvers reflect the profound weakness of the union apparatus. The leadership is terrified of the growing opposition from below, fueled by worsening living and working conditions.",8,9,7,"Profound weakness, ""terrified"" are charged language. Framing is of a weak leadership afraid of its own members (""opposition from below""), reinforcing the divide.",Critics of the agreement say that recent decisions reflect concerns within the union about growing opposition related to working and living conditions.,2,3,2,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
This betrayal in Philadelphia follows the shutdown of the AFSCME municipal strike in July. That strike had disrupted July 4 festivities before being quickly suppressed in collaboration with the city’s Democratic mayor.,8,8,6,"Betrayal, ""suppressed,"" ""collaboration"" frame both union and Democratic officials as opposing the workers. This sets up a class-based ""us-vs-them.""","The situation in Philadelphia follows the end of a municipal strike in July, which concluded after disruptions during July 4 events and discussions between union and city officials.",2,3,2,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"Teachers across the country are entering into struggle, pressing for strike action in California, Chicago, and New York. At the same time, both Democrats and Republicans are accelerating cuts to public education.",5,8,7,"Framing pits ""teachers in struggle"" against a unified ""them"" of ""both Democrats and Republicans,"" presenting a clear political divide.","Teachers in several states, including California, Chicago, and New York, are considering or pursuing strike actions while public education budgets face reductions.",1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"To wage a genuine fight, educators must form independent rank-and-file committees. Such bodies can override undemocratic decisions, assert control over bargaining, and organize strike action outside union control.",7,9,8,"Genuine fight vs. implied fake fight. Direct call to create a new ""us"" (committees) explicitly outside the control of the existing ""them"" (union apparatus).",Some educators advocate forming independent committees to participate more directly in decision-making and collective action.,1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"“On Friday, July 4th, floods began to sweep across Texas Hill Country, washing away vacation cabins, youth camps, and campgrounds along the riverbanks and hills of Kerr County—including Camp Mystic, a century-old Christian summer camp for girls.”",6,3,1,"Descriptive and factual. Some emotional weight in ""washing away"" and the description of the camp, but it's primarily setting a scene. Low bias or divisiveness.","On July 4, floods in Texas Hill Country damaged structures along riverbanks in Kerr County, including a long-established summer camp.",1,2,1,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“At the time of writing, the flash floods have killed at least 135 people. Hill Country is naturally prone to flash flooding due to its dry, compacted soil, which cannot absorb heavy rainfall.”",4,2,1,Factual reporting of casualties and geological facts. Minimal emotional charge or bias.,"As of this report, at least 135 people have died in the flash floods. The Hill Country region is susceptible to flash flooding because its dry, compacted soil absorbs rainfall slowly.",2,3,2,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“The Guadalupe River rose 26 feet in just 45 minutes, and recently defunded emergency services were not equipped to respond in time.”",5,7,3,"The fact of the river rising is neutral. ""Recently defunded emergency services"" frames the lack of response as a direct result of political decisions, introducing bias.","The Guadalupe River rose 26 feet in 45 minutes, and emergency services were unable to respond in time.",2,3,2,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“These floods have exposed politicians from both parties—particularly Republicans—and the catastrophic effect of Trump and DOGE’s ruthless cuts to crucial government agencies, such as FEMA.”",9,9,8,"Exposed, ""catastrophic effect,"" ""ruthless cuts"" are highly charged. Blames a specific political group (""them"") for the disaster, creating a strong political divide.","The floods highlighted the effects of changes to government agency budgets, including FEMA.",2,3,2,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“Over the last decade, FEMA has sent more than $7 billion in individual and public assistance, yet Governor Abbott is supporting Trump in slashing funding for the agency.”",6,8,7,"Uses a fact to frame Abbott's actions as contradictory and harmful. Creates an ""us"" (those needing aid) vs. ""them"" (Abbott/Trump).","Over the last decade, FEMA has provided more than $7 billion in assistance, while current proposals would reduce the agency’s funding.",2,3,2,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“The Trump administration’s Department of Government Efficiency (DOGE) has also significantly reduced the staff, research capacity, and data-sharing capabilities of NOAA, including its ability to provide accurate weather forecasts.”",5,8,6,"Significantly reduced frames the action negatively. Attributes the reduction to a specific, politically charged administration, creating a partisan ""them.""","The Department of Government Efficiency (DOGE) oversaw reductions in NOAA’s staff, research capacity, and data-sharing capabilities, which affected its ability to provide weather forecasts.",2,3,2,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“At the Austin/San Antonio forecasting office, DOGE’s layoffs included the elimination of a warning coordination meteorologist, a position critical for coordinating communication between forecasters, emergency managers, and the public.”",4,7,4,"Factual detail framed to show the concrete, negative impact of the previously mentioned cuts. Bias against the decision-makers.","At the Austin/San Antonio forecasting office, recent layoffs included the removal of a warning coordination meteorologist, a role responsible for communication between forecasters, emergency managers, and the public.",2,3,2,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“This downsizing is part of a broader privatization effort to turn public services into profit-making schemes, with companies poised to fill the gap often tied to Trump appointees.”",8,9,7,"Profit-making schemes, ""poised to fill the gap"" frame the action as a cynical, corrupt takeover. Creates a ""public vs. private profiteers"" dynamic.","The downsizing is part of a broader effort to privatize certain public services, with some of the companies involved having connections to Trump administration appointees.",3,4,3,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“Places like Texas need massive investment in disaster mitigation, wetlands preservation, stormwater drainage systems, levees, dikes, floodwalls, retention and detention basins, and dams and reservoirs.”",3,5,2,"A policy prescription. ""Massive investment"" implies current investment is lacking, showing a bias towards a solution, but with low emotion or divisiveness.","In Texas, proposed infrastructure measures for flood-prone areas include investment in mitigation systems such as wetlands preservation, drainage systems, levees, floodwalls, and reservoirs.",3,4,3,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“Just 100 companies account for over 70% of industrial greenhouse gas emissions. Republicans like Trump, Ted Cruz, and Governor Abbott deny climate change, but Democrats are also funded by fossil fuel corporations.”",5,7,6,"Presents a fact and then uses it to frame both parties as culpable, but notably names specific Republicans. Creates a ""people vs. corporations/politicians"" frame.","A 2017 report found that 100 companies produced most industrial greenhouse gas emissions, and political positions on climate policy vary across parties and candidates.",3,4,3,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“Time and time again, working-class Texans have experienced the failures of this system—most recently during Hurricane Beryl in 2024, and the 2021 winter power crisis that left millions without electricity.”",7,8,7,"Failures of this system is a broad, charged indictment. Frames ""working-class Texans"" (""us"") against a failed ""system"" (""them"").","Texans have faced several major weather-related emergencies in recent years, including Hurricane Beryl in 2024 and the 2021 winter power crisis that left millions without electricity.",3,4,3,https://www.socialistalternative.org/2025/08/21/texas-floods-trumps-cuts-make-capitalisms-climate-crisis-more-devastating/,Socialist Alternative,26.17,-23.8
"“In a cycle that transformed overnight from predictions of a Democratic bloodbath to widespread Republican despair, the Left has achieved some major victories that shouldn’t be overlooked.”",7,8,7,"Bloodbath, ""despair"" are emotionally charged. Framing is explicitly partisan (Left vs. Republican), celebrating one side's victory over the other's despair.",The recent election cycle shifted from earlier expectations and resulted in several notable gains for progressive candidates.,2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“The major top-line success for the Left this election is the addition of several new insurgent candidates who, like ‘the Squad’ of 2018, were backed by progressive outside groups such as the Working Families Party and Justice Democrats.”",4,5,4,"Factual reporting on election results. ""Insurgent"" carries a slight charged connotation but is a common political term. Low on the scales.",This election included several candidates supported by progressive organizations such as the Working Families Party and Justice Democrats.,2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Greg Casar, a three-term Austin City Council member, successfully led the push to raise city workers’ minimum wage, outlaw jobseekers’ criminal history disclosure requirements, and mandate paid sick leave.”",2,3,1,"A neutral, positive description of a politician's achievements. Minimal emotion, bias, or divisiveness.","Greg Casar, a three-term Austin City Council member, supported measures including raising the city worker minimum wage, restricting the use of criminal history in hiring, and requiring paid sick leave.",2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Delia Ramirez in Illinois championed affordable housing, emergency housing assistance, statewide abortion rights, and Medicaid expansion to undocumented immigrants, marking her as a left-wing policymaker with tangible achievements.”",2,3,1,A neutral listing of policy positions and a positive conclusion.,"Delia Ramirez in Illinois supported policies including affordable housing, emergency housing assistance, statewide abortion rights, and Medicaid expansion to undocumented immigrants.",2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Summer Lee became the first Black woman to represent Pennsylvania in Congress, focusing on eviction moratoriums, police reform, and using her platform to push progressive legislation despite GOP control of the statehouse.”",3,4,3,"Factual with a slight framing of fighting against an obstacle (""GOP control""). Very low on emotion and high divisiveness.","Summer Lee became the first Black woman to represent Pennsylvania in Congress, and her stated priorities include housing and police reform.",2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Senator-elect John Fetterman in Pennsylvania ran a populist campaign, supporting sentencing reform, marijuana legalization, universal health care, a $15 minimum wage, and raising taxes on the wealthy.”",2,3,2,"Neutral listing of campaign platforms. ""Populist"" is a descriptor, not inherently charged here.","John Fetterman’s campaign platform included sentencing reform, marijuana legalization, universal health care, a $15 minimum wage, and higher taxes on high incomes.",2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Democratic Socialists of America saw sixteen of its thirty endorsed candidates win, including local officials in Los Angeles, Wisconsin, Colorado, New York, Maryland, and Illinois, focusing on housing, police accountability, and social services.”",2,3,2,"A neutral, factual election result summary.","Sixteen of thirty candidates endorsed by the Democratic Socialists of America won their elections, focusing on issues such as housing, police accountability, and social services.",2,3,2,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Progressive ballot measures saw mixed results, but notable wins included tipped-worker wage reforms in DC, abortion rights protections in Montana and Kentucky, and the Illinois Workers’ Rights Amendment.”",2,3,2,Neutral reporting.,"Several ballot measures passed, including wage reforms in DC, abortion rights measures in Montana and Kentucky, and a workers' rights amendment in Illinois.",1,2,1,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Voters in red states also backed progressive policies: South Dakota approved Medicaid expansion, Nebraska raised its minimum wage to $15, Nevada raised its minimum wage to $12, and recreational marijuana legalization passed in Missouri and Maryland.”",2,3,2,"Neutral reporting of policy outcomes, highlighting bipartisan support for progressive ideas. Actually reduces ""us-vs-them"" by showing cross-party appeal.","Voters in several states approved measures including Medicaid expansion in South Dakota, minimum wage increases in Nebraska and Nevada, and marijuana legalization in Missouri and Maryland.",1,2,1,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Progressive prosecutors won in multiple jurisdictions, including Polk County, Dallas, San Antonio, Indianapolis, Oklahoma City, and Minneapolis, advancing police accountability and noncarceral approaches for nonviolent offenses.”",2,4,3,"Neutral reporting. The description of their agenda (""noncarceral approaches"") is factual, not charged.",Prosecutors emphasizing police accountability and alternatives to incarceration for nonviolent offenses were elected in multiple jurisdictions.,1,2,1,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“Some left-wing victories came at the expense of Palestinian justice, as candidates like Fetterman, Casar, and Frost moderated their positions on Israel to avoid opposition spending from pro-Israel groups.”",5,6,5,"At the expense of frames a trade-off negatively. Identifies a specific pressure group (""them"") that influenced the candidates, creating a mild ""us-vs-them"" on this issue.",Some candidates adjusted their public positions on foreign policy during their campaigns.,1,2,1,http://inthesetimes.com/article/midterm-election-bernie-sanders-squad-left-progressive-ballot-measures,In These Times,33.27,-18.09
"“With House and Senate Republicans still struggling to find consensus on a budget reconciliation bill extending and expanding Trump-era tax cuts, Representative Jason Smith made a surprising statement on May 4 about eliminating loopholes to help working-class Americans.”",3,5,3,"Factual setup. ""Struggling"" and ""surprising"" frame the situation as unstable and the statement as unexpected, indicating a mild bias.","Congressional Republicans are negotiating a budget reconciliation bill, and on May 4 Representative Jason Smith discussed the possibility of eliminating certain tax provisions.",1,2,1,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Smith said, ‘There’s no problem to eliminate loopholes that the wealthy have benefited from to make sure that working-class Americans aren’t paying taxes on tips, seniors are having reduced taxes on their Social Security, and we’re not paying taxes on overtime.’”",2,3,3,A direct quote from a politician. The language within the quote is populist but reporting it is neutral.,"Representative Jason Smith said, “There’s no problem to eliminate loopholes … to make sure that working-class Americans aren’t paying taxes on tips, seniors have reduced taxes on Social Security, and overtime isn’t taxed.”",1,2,1,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Senior Trump administration officials remain interested in a variety of tax provisions, including potential rate increases for wealthy Americans, despite Trump’s past opposition to such hikes.”",2,3,2,Factual reporting on internal policy discussions.,"Some senior officials in the Trump administration are discussing various tax provisions, including possible rate changes for higher-income Americans, a topic that Trump has previously opposed.",2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Whether Republicans will support higher taxes on the wealthy remains uncertain, with House Speaker Mike Johnson continuing to oppose them, while some populist figures like Vice President J.D. Vance back selective increases.”",2,3,3,Neutral reporting on internal party divisions.,"It is unclear whether Republicans will support higher taxes on high-income households, as viewpoints within the party differ.",2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Smith’s framing is populist, designed to deflect Democratic criticism that GOP tax bills favor millionaires, echoing Steve Bannon’s advice that taxing the wealthy politically undercuts Democratic messaging.”",4,6,6,"Analysis of political strategy. ""Designed to deflect"" frames the statement as cynical and tactical rather than principled, creating a partisan ""us-vs-them"" framing.",Smith’s remarks have been described as part of a strategic response to criticism that GOP tax proposals benefit high-income households.,2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“A tax bill that increases taxes on the wealthy while reducing them for working-class households would resemble a Democratic approach more than a traditional Republican one, leaving Democrats without their usual critiques.”",2,5,4,"Analytical framing comparing party platforms. Low emotion, but clear political ""us-vs-them"" context.",A tax bill that raises taxes on high-income households and lowers them for working-class households would differ from past Republican approaches and could change typical lines of critique.,2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“The distribution of benefits matters: eliminating taxes on tips, Social Security, and overtime primarily helps upper-middle-class households, with lower-income households gaining relatively little due to the progressive tax structure.”",2,4,3,Factual economic analysis. Neutral tone.,"The distribution of benefits varies: removing taxes on tips, Social Security, and overtime would have different effects across income groups due to the structure of the tax system.",2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Estimates show that in 2026, removing Social Security taxes would give the bottom 20 percent $0, the next-lowest quintile $15, and the top one percent $2,205, with the top 0.1 percent getting $2,450.”",1,2,1,"Pure data presentation. No emotion, minimal framing bias.","Estimates for 2026 indicate that removing Social Security taxes would provide $0 to the bottom 20 percent, $15 to the next quintile, $2,205 to the top one percent, and $2,450 to the top 0.1 percent.",1,2,1,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Overtime and tip exemptions similarly favor higher earners: the bottom 20 percent might receive $10 (overtime) and $730 (tips), while the top 20 percent could see $1,480 and $7,170, respectively.”",1,2,1,Pure data presentation.,"Estimates suggest that removing taxes on overtime and tips would provide about $10 and $730 to the bottom 20 percent, while the top 20 percent could receive about $1,480 and $7,170.",1,2,1,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Trump’s regressive tariffs could offset any working-class gains from the tax changes, as consumer costs on goods increase regardless of income bracket.”",5,7,5,"Regressive tariffs is a charged, value-laden term. Frames the policy as ultimately harmful to the working class, creating a ""people vs. policy"" dynamic.",Tariffs could reduce the effect of tax changes by increasing consumer prices across income groups.,1,2,1,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Smith emphasized urgency, warning that failure to pass the bill could mean a 22 percent tax increase for all Americans, highlighting the political pressure to reach a compromise.”",4,5,3,"Reports a political warning. ""Urgency"" and the specific number frame the stakes, showing a mild bias towards action.",Smith said that not passing the bill could result in a 22 percent tax increase for all Americans and noted that lawmakers are discussing possible compromises.,2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“Negotiations remain fragile, balancing demands for severe spending cuts from fiscal hawks with swing-district political concerns, making the final impact on wealthy taxpayers dependent on the bill’s fine print.”",2,4,3,"Neutral analysis of the legislative process. ""Severe spending cuts"" is a common descriptor.","Negotiations are ongoing, balancing demands for spending reductions with political considerations in swing districts, and the final effect on high-income taxpayers will depend on the bill’s details.",2,3,2,https://washingtonmonthly.com/2025/05/06/this-republican-just-cracked-the-doors-open-to-higher-taxes-on-the-wealthy-or-did-he/,Washington Monthly,35.78,-12.08
"“The Democratic Party’s standing in public opinion polls has sunk to its lowest point in more than 30 years. Many of the party’s own voters think their leaders aren’t fighting hard enough against President Trump. In one survey, the words they used most often were ‘weak’ and ‘tepid.’”",6,6,4,"Reports negative poll data. ""Sunk,"" ""weak,"" ""tepid"" are charged words, but they are attributed to voters, not the author. Framing is of a party in crisis.","Recent public opinion polls show low support for the Democratic Party, with some voters describing their leaders as not assertive enough against President Trump.",2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“‘The party is in shambles,’ said James Carville, the political strategist who helped Bill Clinton win the White House after a similar bout of disarray a generation ago.”",7,5,3,"Quotes a strategist using highly charged language (""shambles,"" ""disarray""). The emotional charge is in the quote, not the author's text.","James Carville, the political strategist who helped Bill Clinton win the White House a generation ago, described the current state of the party as disorganized.",2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“Its brand is still unpopular, but its chances of winning next year’s congressional elections appear to be growing; in recent polls, the share of voters saying they plan to vote Democratic has reached a roughly 5% lead over the GOP.”",3,4,4,Presents a paradox (unpopular but winning). Framing is analytical and political.,"The Democratic Party’s brand remains unpopular, but recent polls show it leading the GOP by about 5% in voter preference for next year’s congressional elections.",2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“‘There’s no requirement that people love the Democratic Party in order to vote for it,’ Republican pollster Patrick Ruffini said last week. ‘In an era of negative partisanship, people are motivated to vote more by dislike of the other party than by love for their own.’”",3,5,8,"A quote that perfectly defines ""us-vs-them"" politics (negative partisanship). The analysis itself is divisive, though the reporting of it is neutral.",Republican pollster Patrick Ruffini noted that voters are often motivated more by dislike of the opposing party than by support for their own.,2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“‘The talent level in the current Democratic Party is the highest I’ve ever seen,’ he said. ‘Whoever comes out on top of that competition is going to be a pretty strong candidate.’”",2,3,1,A positive quote from a Republican about Democrats. Lowers divisiveness.,"Patrick Ruffini also said, “The talent level in the current Democratic Party is the highest I’ve ever seen. Whoever comes out on top of that competition is going to be a strong candidate.”",1,2,1,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“For one, Trump has pressed Texas and other Republican-led states to redraw congressional maps to cement GOP control of the House of Representatives — an effort that could succeed despite Newsom’s attempt to counter it in California.”",4,6,6,Cement GOP control frames the action as anti-democratic. Sets up a partisan battle (GOP vs. Newsom/Dems).,"“Trump has encouraged Texas and other Republican-led states to revise congressional maps, which could affect the balance of seats in the House of Representatives, while Newsom has taken related action in California.”",1,2,1,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“‘We have to do well in 2026 to demonstrate we’re not so toxic that people won’t vote for us anymore,’ said Doug Sosnik, another former Clinton aide.”",5,5,5,"A quote using the charged word ""toxic"" to describe the party's brand. Reinforces the ""us-vs-them"" frame where ""they"" see ""us"" as toxic.","Doug Sosnik said, “We need to perform well in 2026 to show that voters continue to support the party.”",1,2,1,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“‘We’ve found our footing. We’ve gone on the offensive,’ argued Rep. Ro Khanna (D-Fremont), who spent most of the summer campaigning across the country. ‘Trump’s cuts to Medicaid and tax breaks for billionaires have given us a message we can unite around.’”",5,7,8,"Gone on the offensive and the description of Trump's policies are framed to create a clear enemy (""them"") and a unifying message for ""us.""","Rep. Ro Khanna said, “We’ve found our footing and campaigned across the country. Policy changes to Medicaid and tax provisions provide issues we can focus on in our messaging.”",1,2,1,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
